2024-12-16 11:09:21,46,Waiting,1 Tee
2024-12-16 11:09:22,47,Waiting,1 Tee
2024-12-16 11:09:23,47,1 Tee,2 Tee
2024-12-16 11:09:24,47,2 Tee,Waiting
2024-12-16 11:09:28,46,1 Tee,2 Tee
2024-12-16 11:09:29,46,2 Tee,Waiting
2024-12-16 11:09:35,45,Waiting,1 Tee
2024-12-16 11:09:36,45,1 Tee,2 Tee
2024-12-16 11:09:37,45,2 Tee,Waiting
2024-12-16 11:09:43,151,Waiting,1 Tee
2024-12-16 11:09:44,151,1 Tee,2 Tee
2024-12-16 11:09:45,151,2 Tee,Waiting
2024-12-16 11:09:51,35,Waiting,1 Tee
2024-12-16 11:09:55,35,1 Tee,2 Tee
2024-12-16 11:09:57,36,Waiting,1 Tee
2024-12-16 11:09:58,37,Waiting,1 Tee
2024-12-16 11:09:59,38,Waiting,1 Tee
2024-12-16 11:10:00,39,Waiting,1 Tee
2024-12-16 11:10:01,40,Waiting,1 Tee
2024-12-16 11:11:40,1,Waiting,1 Tee
2024-12-16 11:11:41,2,Waiting,1 Tee
2024-12-16 11:11:42,3,Waiting,1 Tee
2024-12-16 11:11:43,4,Waiting,1 Tee
2024-12-16 11:11:45,5,Waiting,1 Tee
2024-12-16 11:11:46,6,Waiting,1 Tee
2024-12-16 11:11:49,46,Waiting,1 Tee
2024-12-16 11:11:50,47,Waiting,1 Tee
2024-12-16 11:11:51,48,Waiting,1 Tee
2024-12-16 11:11:53,49,Waiting,1 Tee
2024-12-16 11:11:53,50,Waiting,1 Tee
2024-12-16 11:11:55,51,Waiting,1 Tee
2024-12-16 11:11:56,52,Waiting,1 Tee
2024-12-16 11:11:57,53,Waiting,1 Tee
2024-12-16 11:11:58,54,Waiting,1 Tee
2024-12-16 11:11:59,55,Waiting,1 Tee
2024-12-16 11:12:00,56,Waiting,1 Tee
2024-12-16 11:12:01,57,Waiting,1 Tee
2024-12-16 11:12:01,58,Waiting,1 Tee
2024-12-16 11:12:02,59,Waiting,1 Tee
2024-12-16 11:12:03,60,Waiting,1 Tee
2024-12-16 11:12:07,70,Waiting,1 Tee
2024-12-16 11:12:09,75,Waiting,1 Tee
2024-12-16 11:12:10,76,Waiting,1 Tee
2024-12-16 11:12:10,77,Waiting,1 Tee
2024-12-16 11:18:13,44,Waiting,1 Tee
2024-12-16 11:18:14,44,1 Tee,2 Tee
2024-12-16 11:18:15,44,2 Tee,On Leave
2024-12-16 11:20:53,3,Waiting,1 Tee
2024-12-16 11:20:58,3,1 Tee,2 Tee
2024-12-16 11:21:02,3,2 Tee,On Leave
2024-12-16 11:23:49,2,Waiting,1 Tee
2024-12-16 11:23:50,2,1 Tee,2 Tee
2024-12-16 11:23:56,3,Waiting,On Leave
2024-12-16 11:23:59,4,Waiting,On Leave
2024-12-16 11:24:01,2,2 Tee,Waiting
2024-12-16 11:24:07,5,Waiting,On Leave
2024-12-16 11:28:51,4,Waiting,1 Tee
2024-12-16 11:28:51,4,1 Tee,2 Tee
2024-12-16 11:28:52,4,2 Tee,Waiting
2024-12-16 11:29:09,4,Waiting,1 Tee
2024-12-16 11:29:54,4,1 Tee,2 Tee
2024-12-16 11:30:01,3,Waiting,1 Tee
2024-12-16 11:30:04,144,Waiting,1 Tee
2024-12-16 11:30:20,144,1 Tee,2 Tee
2024-12-16 11:30:22,144,2 Tee,Waiting
2024-12-16 11:30:23,144,Waiting,1 Tee
2024-12-16 11:31:43,5,Waiting,1 Tee
2024-12-16 11:31:47,5,1 Tee,2 Tee
2024-12-16 11:31:57,5,2 Tee,Waiting
2024-12-16 11:32:00,5,Waiting,1 Tee
2024-12-16 11:32:01,5,1 Tee,2 Tee
2024-12-16 11:32:03,5,2 Tee,Waiting
2024-12-16 11:32:04,6,Waiting,1 Tee
2024-12-16 11:32:06,6,1 Tee,2 Tee
2024-12-16 11:32:58,3,Waiting,On Leave
2024-12-16 11:33:20,4,Waiting,On Leave
2024-12-16 11:37:03,3,Waiting,1 Tee
2024-12-16 11:37:10,4,Waiting,On Leave
2024-12-16 11:37:12,3,1 Tee,2 Tee
2024-12-16 11:37:13,3,2 Tee,Waiting
2024-12-16 11:37:15,3,Waiting,1 Tee
2024-12-16 11:37:37,5,Waiting,On Leave
2024-12-16 11:37:46,3,1 Tee,2 Tee
2024-12-16 11:37:47,3,2 Tee,Waiting
2024-12-16 11:37:48,3,Waiting,1 Tee
2024-12-16 11:37:57,13,Waiting,1 Tee
2024-12-16 11:37:58,23,Waiting,1 Tee
2024-12-16 11:37:59,33,Waiting,1 Tee
2024-12-16 11:38:00,43,Waiting,1 Tee
2024-12-16 11:38:03,43,1 Tee,2 Tee
2024-12-16 11:38:05,43,2 Tee,Waiting
2024-12-16 11:38:06,44,Waiting,1 Tee
2024-12-16 11:38:07,45,Waiting,1 Tee
2024-12-16 11:38:08,46,Waiting,1 Tee
2024-12-16 11:38:09,47,Waiting,1 Tee
2024-12-16 11:38:15,47,1 Tee,2 Tee
2024-12-16 11:38:16,48,Waiting,1 Tee
2024-12-16 11:38:17,48,1 Tee,2 Tee
